文件名,预测,P(good),路径
row118_img1.webp,good,0.9933,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row118_img1.webp
row135_img1.webp,good,0.9933,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row135_img1.webp
row323_img1.webp,good,0.9917,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row323_img1.webp
row110_img1.webp,good,0.9917,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row110_img1.webp
row137_img2.webp,good,0.9910,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row137_img2.webp
row280_img1.webp,good,0.9907,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row280_img1.webp
row329_img2.webp,good,0.9903,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row329_img2.webp
row084_img2.webp,good,0.9885,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row084_img2.webp
row064_img2.webp,good,0.9857,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row064_img2.webp
row454_img2.webp,good,0.9850,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row454_img2.webp
row049_img2.webp,good,0.9829,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row049_img2.webp
row227_img2.webp,good,0.9822,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row227_img2.webp
row256_img2.webp,good,0.9771,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row256_img2.webp
row357_img2.webp,good,0.9734,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row357_img2.webp
row353_img1.webp,good,0.9734,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row353_img1.webp
row313_img1.webp,good,0.9721,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row313_img1.webp
row049_img1.webp,good,0.9714,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row049_img1.webp
row255_img1.webp,good,0.9702,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row255_img1.webp
row344_img2.webp,good,0.9684,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row344_img2.webp
row197_img2.webp,good,0.9672,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row197_img2.webp
row083_img1.webp,good,0.9667,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row083_img1.webp
row120_img1.webp,good,0.9662,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row120_img1.webp
row144_img2.webp,good,0.9657,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row144_img2.webp
row480_img2.webp,good,0.9655,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row480_img2.webp
row357_img1.webp,good,0.9642,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row357_img1.webp
row327_img2.webp,good,0.9568,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row327_img2.webp
row123_img1.webp,good,0.9529,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row123_img1.webp
row417_img1.webp,good,0.9522,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row417_img1.webp
row256_img1.webp,good,0.9504,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row256_img1.webp
row278_img1.webp,good,0.9415,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row278_img1.webp
row322_img1.webp,good,0.9412,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row322_img1.webp
row266_img1.webp,good,0.9339,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row266_img1.webp
row251_img1.webp,good,0.9335,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row251_img1.webp
row042_img1.webp,good,0.9255,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row042_img1.webp
row095_img2.webp,good,0.9240,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row095_img2.webp
row192_img1.webp,good,0.9176,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row192_img1.webp
row367_img2.webp,good,0.9164,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row367_img2.webp
row153_img1.webp,good,0.9138,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row153_img1.webp
row046_img2.webp,good,0.9118,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row046_img2.webp
row480_img1.webp,good,0.9094,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row480_img1.webp
row380_img1.webp,good,0.9053,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row380_img1.webp
row203_img1.webp,good,0.9025,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row203_img1.webp
row104_img1.webp,good,0.8911,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row104_img1.webp
row326_img1.webp,good,0.8660,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row326_img1.webp
row368_img1.webp,good,0.8639,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row368_img1.webp
row299_img1.webp,good,0.8492,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row299_img1.webp
row355_img1.webp,good,0.8366,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row355_img1.webp
row231_img2.webp,good,0.8349,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row231_img2.webp
row331_img1.webp,good,0.8317,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row331_img1.webp
row267_img1.webp,good,0.8214,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row267_img1.webp
row110_img2.webp,good,0.8147,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row110_img2.webp
row391_img2.webp,good,0.8111,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row391_img2.webp
row084_img1.webp,good,0.8061,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row084_img1.webp
row349_img2.webp,good,0.8024,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row349_img2.webp
row066_img2.webp,good,0.7929,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row066_img2.webp
row293_img2.webp,good,0.7869,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row293_img2.webp
row375_img1.webp,good,0.7749,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row375_img1.webp
row301_img2.webp,good,0.7722,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row301_img2.webp
row355_img2.webp,good,0.7678,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row355_img2.webp
row019_img2.webp,good,0.7590,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row019_img2.webp
row327_img1.webp,good,0.7575,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row327_img1.webp
row086_img2.webp,good,0.7472,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row086_img2.webp
row060_img2.webp,good,0.7448,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row060_img2.webp
row078_img1.webp,good,0.7441,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row078_img1.webp
row339_img1.webp,good,0.7289,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row339_img1.webp
row041_img2.webp,good,0.7144,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row041_img2.webp
row297_img1.webp,good,0.7090,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row297_img1.webp
row099_img1.webp,good,0.7011,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row099_img1.webp
row192_img2.webp,good,0.6998,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row192_img2.webp
row148_img1.webp,good,0.6989,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row148_img1.webp
row313_img2.webp,good,0.6979,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row313_img2.webp
row405_img2.webp,good,0.6962,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row405_img2.webp
row076_img1.webp,good,0.6855,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row076_img1.webp
row455_img1.webp,good,0.6708,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row455_img1.webp
row095_img1.webp,good,0.6545,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row095_img1.webp
row353_img2.webp,good,0.6345,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row353_img2.webp
row405_img1.webp,good,0.5992,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row405_img1.webp
row186_img1.webp,good,0.5945,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row186_img1.webp
row361_img1.webp,good,0.5916,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row361_img1.webp
row345_img2.webp,good,0.5376,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row345_img2.webp
row345_img1.webp,good,0.5246,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row345_img1.webp
row365_img1.webp,good,0.5138,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row365_img1.webp
row094_img1.webp,bad,0.4966,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row094_img1.webp
row047_img2.webp,bad,0.4668,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row047_img2.webp
row021_img1.webp,bad,0.4636,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row021_img1.webp
row153_img2.webp,bad,0.4444,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row153_img2.webp
row328_img2.webp,bad,0.4368,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row328_img2.webp
row322_img2.webp,bad,0.4251,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row322_img2.webp
row148_img2.webp,bad,0.3962,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row148_img2.webp
row045_img1.webp,bad,0.3940,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row045_img1.webp
row298_img1.webp,bad,0.3796,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row298_img1.webp
row347_img1.webp,bad,0.3654,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row347_img1.webp
row093_img2.webp,bad,0.3567,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row093_img2.webp
row200_img1.webp,bad,0.3303,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row200_img1.webp
row082_img1.webp,bad,0.3074,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row082_img1.webp
row462_img1.webp,bad,0.2998,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row462_img1.webp
row306_img2.webp,bad,0.2924,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row306_img2.webp
