文件名,预测,P(good),路径
row041_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row041_img1.webp
row038_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row038_img2.webp
row044_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row044_img2.webp
row035_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row035_img2.webp
row008_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row008_img1.webp
row040_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row040_img2.webp
row006_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row006_img1.webp
row002_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row002_img1.webp
row037_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row037_img1.webp
row026_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row026_img1.webp
row026_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row026_img2.webp
row025_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row025_img1.webp
row038_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row038_img1.webp
row029_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row029_img2.webp
row006_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row006_img2.webp
row008_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row008_img2.webp
row004_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row004_img1.webp
row009_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row009_img2.webp
row012_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row012_img1.webp
row005_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row005_img2.webp
row034_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row034_img2.webp
row005_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row005_img1.webp
row046_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row046_img2.webp
row010_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row010_img2.webp
row034_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row034_img1.webp
row046_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row046_img1.webp
row024_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row024_img1.webp
row018_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row018_img1.webp
row018_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row018_img2.webp
